Pedido;Data;Tipo Frete;Transportadora;Valor NF;Valor Frete
149411;02/03/2026;CIF;Dedicado;220920,32;9958,37
147668;02/03/2026;CIF;Transcarapia;132362,64;6721,27
147610;02/03/2026;CIF;Transcarapia;127126,7;5810,11
149315;02/03/2026;CIF;Dedicado;72000;4000
149352;02/03/2026;CIF;Dedicado;47665,12;3349,98
149171;02/03/2026;CIF;KAMER CARGO;50616,4;2974,77
149382;02/03/2026;CIF;BRASIL WEB;27870,66;2712,43
149410;02/03/2026;CIF;Dedicado;37735,24;2682,19
149226;02/03/2026;CIF;KAMER CARGO;22098;2595,6
149436;02/03/2026;CIF;BRASIL WEB;34402,6;2490,12
148493;02/03/2026;CIF;ARLETE;32402,4;2186,73
148972;02/03/2026;CIF;Transcarapia;10170;1598,15
149307;02/03/2026;CIF/FOB;SM LOG;48504;1164,76
149361;02/03/2026;CIF/FOB;TR CARGO;24044,14;1108,5
149365;02/03/2026;CIF;KAMER CARGO;11233,8;1047,09
149179;02/03/2026;CIF;BRASIL WEB;20710;982,25
149281;02/03/2026;CIF;BRASIL WEB;20426;963,5
147515;02/03/2026;CIF;ARLETE;16914,6;961,03
149346;02/03/2026;CIF;GRN LOG;20216,7;942,5
148933;02/03/2026;CIF;ARLETE;14428,49;922,54
149454;02/03/2026;CIF;SM LOG;3018;864,3
148973;02/03/2026;CIF;Transcarapia;17178,96;856,69
145847;02/03/2026;CIF/FOB;TR CARGO;13492;781,82
149446;02/03/2026;CIF;MID TRANSPORTES;10683,38;766,08
148594;02/03/2026;CIF;BRASIL WEB;8058,76;618,28
149350;02/03/2026;CIF;MID TRANSPORTES;6146,6;611,99
149375;02/03/2026;CIF/FOB;TR CARGO;9920;607,13
149383;02/03/2026;CIF/FOB;TR CARGO;18720;560,93
148861;02/03/2026;CIF/FOB;SM LOG;16792,72;519,28
148666;02/03/2026;CIF;ARLETE;7576,94;509,57
148628;02/03/2026;CIF;ARLETE;9756;481,45
149314;02/03/2026;CIF/FOB;TR CARGO;11669,58;469,62
149329;02/03/2026;CIF;GRN LOG;6800;460,85
149310;02/03/2026;CIF/FOB;TR CARGO;7663;457,43
149157;02/03/2026;CIF;ARLETE;6936,6;423,32
149353;02/03/2026;CIF/FOB;SM LOG;7194;409,54
146468;02/03/2026;CIF/FOB;TR CARGO;2400;388,28
149344;02/03/2026;CIF;GRN LOG;7193,04;387,06
146453;02/03/2026;CIF/FOB;TR CARGO;7367,33;381,47
149256;02/03/2026;CIF/FOB;TR CARGO;8790,2;339,47
148999;02/03/2026;CIF;ARLETE;5388,8;332,64
149100;02/03/2026;CIF;BRASIL WEB;3137,4;323,37
149130;02/03/2026;CIF/FOB;TR CARGO;9014,09;319,86
149401;02/03/2026;CIF;ARLETE;8030;300,62
149360;02/03/2026;CIF/FOB;TR CARGO;5076,28;292,85
148918;02/03/2026;CIF;ARLETE;4582,84;290,9
149396;02/03/2026;CIF;SM LOG;17899,07;285,65
149258;02/03/2026;CIF;SM LOG;3196;273,51
145924;02/03/2026;CIF/FOB;SM LOG;3076,8;266,29
149345;02/03/2026;CIF;TW TRANSPORTES;3009,6;265,92
149312;02/03/2026;CIF/FOB;TR CARGO;6044,12;264,25
149370;02/03/2026;CIF;SM LOG;11345,26;261,03
149308;02/03/2026;CIF;TW TRANSPORTES;3934,48;256,25
148693;02/03/2026;CIF;ARLETE;2734,8;250,67
148633;02/03/2026;CIF;GRN LOG;3197,56;248,66
149355;02/03/2026;CIF/FOB;TR CARGO;5774,7;232,84
149391;02/03/2026;CIF/FOB;TR CARGO;5400,2;232,39
149390;02/03/2026;CIF;ARLETE;3521,55;219,35
149268;02/03/2026;CIF;ARLETE;2280;216,17
149418;02/03/2026;CIF/FOB;TR CARGO;5787,6;210,9
146175;02/03/2026;CIF/FOB;SM LOG;4025,2;206,4
149305;02/03/2026;CIF;ARLETE;4029,29;203,39
148503;02/03/2026;CIF;ARLETE;5098,08;203,14
149385;02/03/2026;CIF/FOB;TR CARGO;9400,48;199,19
149379;02/03/2026;CIF;SM LOG;7663,48;198,47
148230;02/03/2026;CIF;ARLETE;5110,22;197,91
148677;02/03/2026;CIF;ARLETE;4461,87;197,67
148590;02/03/2026;CIF;ARLETE;4392,24;175,89
149313;02/03/2026;CIF/FOB;TR CARGO;7742,48;172,12
149366;02/03/2026;CIF/FOB;TR CARGO;3734;172
149309;02/03/2026;CIF;SM LOG;6904,01;171,45
149374;02/03/2026;CIF/FOB;TR CARGO;3875,34;169,84
148691;02/03/2026;CIF;ARLETE;3148,72;153,32
149131;02/03/2026;CIF/FOB;SM LOG;2962,5;147,67
148569;02/03/2026;CIF/FOB;TR CARGO;3506,72;135,16
149316;02/03/2026;CIF/FOB;TR CARGO;4189,32;134,74
148669;02/03/2026;CIF;SM LOG;3007;129,99
149428;02/03/2026;CIF/FOB;SM LOG;3309,6;120,76
149427;02/03/2026;CIF/FOB;SM LOG;3309,6;120,76
149451;02/03/2026;CIF/FOB;TR CARGO;2809,2;118,3
149388;02/03/2026;CIF;SM LOG;3314,64;112,76
149006;02/03/2026;CIF;ARLETE;1632;111,18
148944;02/03/2026;CIF/FOB;SM LOG;3046,2;109,82
146261;02/03/2026;CIF/FOB;SM LOG;3678;109,51
149409;02/03/2026;CIF/FOB;TR CARGO;3629,46;104,35
149424;02/03/2026;CIF/FOB;TR CARGO;3282,2;101,07
149439;02/03/2026;CIF/FOB;TR CARGO;2943,38;100,57
149441;02/03/2026;CIF/FOB;TR CARGO;3666;88,07
149306;02/03/2026;CIF/FOB;TR CARGO;2912,7;83,22
149291;02/03/2026;CIF;ARLETE;4178;72
148598;02/03/2026;CIF;TW TRANSPORTES;2943,49;65,91
145858;03/03/2026;CIF/FOB;Dedicado;54000;4753,84
149425;03/03/2026;CIF/FOB;VEP;99596,22;3905,95
149517;03/03/2026;CIF;TR CARGO;3663,9;139,59
149108;03/03/2026;CIF/FOB;Dedicado;66959,64;2641,88
149060;03/03/2026;CIF/FOB;VEP;51903,64;1884,85
149491;03/03/2026;CIF/FOB;VEP;49075,1;1711,11
149063;03/03/2026;CIF/FOB;VEP;52989,3;1649,84
149061;03/03/2026;CIF/FOB;VEP;43372,76;1512,26
146367;03/03/2026;CIF/FOB;VEP;8400;1338,48
149493;03/03/2026;CIF/FOB;VEP;37419,46;1257,24
149599;03/03/2026;CIF;TR CARGO;5627,88;187,9
149540;03/03/2026;CIF/FOB;TR CARGO;34930;1094,58
149629;03/03/2026;CIF;TW TRANSPORTES;5084,6;226,07
149631;03/03/2026;CIF;GRN LOG;10225,83;1184,02
149634;03/03/2026;CIF;TR CARGO;21600;870,73
149630;03/03/2026;CIF;MID TRANSPORTES;6078,16;357,11
145923;03/03/2026;CIF/FOB;TR CARGO;10200;1000,79
148958;03/03/2026;CIF/FOB;TR CARGO;17610;917,39
149470;03/03/2026;CIF/FOB;TR CARGO;41018,89;933,67
149472;03/03/2026;CIF/FOB;TR CARGO;25298;877,83
149105;03/03/2026;CIF/FOB;TR CARGO;16011,54;639,32
149109;03/03/2026;CIF/FOB;Dedicado;14852,16;338,38
149474;03/03/2026;CIF/FOB;TR CARGO;19523,41;586,99
149285;03/03/2026;CIF;Dedicado;293263,12;7161,81
